class name;;Method name;;number of detected pattern;;method Declaration;;parameter;;number of occurrences;;occurrenceType;;unitOnwhichOccurrenceIsDetected;;commentFragment
java.rmi.Naming;; * ;; * ;;*;;r0;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;r1 := @parameter1: java.rmi.activation.ActivationID;;NullAllowed pattern detected param is  :r0
java.rmi.Naming;; * ;; * ;;*;;r1;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;i0 := @parameter2: int;;NullAllowed pattern detected param is  :r1
java.rmi.Naming;;unexportObject;;1;;public static boolean unexportObject(java.rmi.Remote, boolean) throws java.rmi.NoSuchObjectException;;;;;;;;;;
java.rmi.Naming;; * ;; * ;;*;;r0;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;z0 := @parameter1: boolean;;NullAllowed pattern detected param is  :r0
java.rmi.Naming;;<init>;;1;;protected void <init>(java.rmi.server.RemoteRef);;;;;;;;;;
java.rmi.Naming;; * ;; * ;;*;;r1;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;specialinvoke r0.<java.rmi.server.RemoteObject: void <init>(java.rmi.server.RemoteRef)>(r1);;NullAllowed pattern detected param is  :r1
java.rmi.Naming;;setLog;;1;;public static void setLog(java.io.OutputStream);;;;;;;;;;
java.rmi.Naming;; * ;; * ;;*;;r0;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;if r0 != null goto $z0 = 0;;NullAllowed pattern detected param is  :r0
java.rmi.Naming;;<init>;;1;;public void <init>(java.lang.String);;;;;;;;;;
java.rmi.Naming;; * ;; * ;;*;;r1;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;specialinvoke r0.<java.lang.Exception: void <init>(java.lang.String)>(r1);;NullAllowed pattern detected param is  :r1
java.rmi.Naming;;<init>;;2;;public void <init>(java.lang.String, java.lang.Throwable);;;;;;;;;;
java.rmi.Naming;; * ;; * ;;*;;r1;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;r2 := @parameter1: java.lang.Throwable;;NullAllowed pattern detected param is  :r1
java.rmi.Naming;; * ;; * ;;*;;r2;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;specialinvoke r0.<java.lang.Exception: void <init>(java.lang.String)>(r1);;NullAllowed pattern detected param is  :r2
